model,listing_id,reg_year,age_years,mileage,avg_annual_mileage,trim,fuel,transmission,engine_litres,body,former_keepers,service_history,seller_type,condition,region,original_list_gbp,asking_price_gbp,retained_pct
Volkswagen Golf,GOL-069,2020,6,105048,17508,Match,Diesel,Automatic,1.5,Hatchback,4,Full,Franchise dealer,Good,East of England,24000,8475,0.3531
Volkswagen Golf,GOL-070,2020,6,88618,14770,Match,Petrol,Manual,1.4,Hatchback,5,Full,Franchise dealer,Excellent,Yorkshire,24000,9015,0.3756
Volkswagen Golf,GOL-071,2020,6,45247,7541,Black Edition,Hybrid,Automatic,1.2,Hatchback,5,Full,Independent dealer,Fair,South East,24000,10705,0.446
Volkswagen Golf,GOL-072,2019,7,46482,6640,Match,Diesel,Manual,1.6,Hatchback,5,Partial,Independent dealer,Excellent,North West,23000,8200,0.3565
Volkswagen Golf,GOL-073,2019,7,39016,5574,GTI,Petrol,Automatic,1.2,Sports Tourer,1,None,Independent dealer,Fair,North West,23000,9795,0.4259
Volkswagen Golf,GOL-074,2019,7,102634,14662,GT,Petrol,Manual,1.4,Hatchback,1,Full,Independent dealer,Good,East of England,23000,7655,0.3328
Volkswagen Golf,GOL-075,2019,7,79975,11425,GTI,Petrol,Automatic,1.5,Sports Tourer,2,Partial,Private,Excellent,Scotland,23000,8430,0.3665
Volkswagen Golf,GOL-076,2019,7,102695,14671,R-Line,Diesel,Automatic,1.2,Hatchback,4,Full,Private,Excellent,Wales,23000,6785,0.295
Volkswagen Golf,GOL-077,2019,7,68212,9745,GTI,Diesel,Automatic,1.5,Hatchback,6,Partial,Independent dealer,Excellent,North West,23000,9120,0.3965
Volkswagen Golf,GOL-078,2019,7,132182,18883,S,Diesel,Manual,1.2,Hatchback,3,Full,Independent dealer,Good,Scotland,23000,5320,0.2313
Volkswagen Golf,GOL-079,2019,7,98726,14104,GTI,Petrol,Manual,1.5,Sports Tourer,1,Partial,Independent dealer,Good,North West,23000,7940,0.3452
Volkswagen Golf,GOL-080,2018,8,102766,12846,R-Line,Petrol,Automatic,1.6,Sports Tourer,3,Full,Franchise dealer,Good,East of England,22500,7435,0.3304
Volkswagen Golf,GOL-081,2018,8,97081,12135,GT,Diesel,Manual,1.5,Hatchback,2,Partial,Franchise dealer,Fair,Scotland,22500,6270,0.2787
Volkswagen Golf,GOL-082,2018,8,80367,10046,R-Line,Diesel,Manual,1.2,Hatchback,6,Full,Independent dealer,Good,North East,22500,6965,0.3096
Volkswagen Golf,GOL-083,2017,9,86732,9637,S,Petrol,Automatic,1.2,Hatchback,6,Full,Franchise dealer,Good,West Midlands,22000,6395,0.2907
Volkswagen Golf,GOL-084,2017,9,147802,16422,R-Line,Petrol,Manual,1.6,Hatchback,1,Full,Independent dealer,Good,West Midlands,22000,5575,0.2534
Volkswagen Golf,GOL-085,2017,9,118693,13188,GTI,Diesel,Manual,1.2,Hatchback,6,Full,Franchise dealer,Good,Wales,22000,6530,0.2968
Volkswagen Golf,GOL-086,2017,9,141713,15746,R-Line,Petrol,Manual,1.5,Hatchback,6,Full,Private,Good,Scotland,22000,4890,0.2223
Volkswagen Golf,GOL-087,2017,9,68402,7600,S,Diesel,Manual,1.5,Hatchback,4,Partial,Independent dealer,Good,East of England,22000,5895,0.268
Volkswagen Golf,GOL-088,2017,9,147647,16405,Match,Diesel,Automatic,1.4,Hatchback,4,Partial,Independent dealer,Good,Wales,22000,4640,0.2109
Volkswagen Golf,GOL-089,2016,10,140914,14091,GTI,Petrol,Automatic,1.4,Hatchback,5,Partial,Independent dealer,Good,Scotland,21500,5350,0.2488
Volkswagen Golf,GOL-090,2016,10,133470,13347,GTI,Diesel,Manual,1.5,Hatchback,2,Full,Independent dealer,Fair,London,21500,5440,0.253
Volkswagen Golf,GOL-091,2016,10,56515,5652,GT,Diesel,Manual,1.6,Hatchback,5,Full,Independent dealer,Good,North East,21500,6935,0.3226
Volkswagen Golf,GOL-092,2016,10,106655,10666,S,Diesel,Manual,1.5,Sports Tourer,4,Full,Independent dealer,Good,West Midlands,21500,4725,0.2198
Volkswagen Golf,GOL-093,2016,10,71746,7175,Match,Petrol,Manual,1.5,Sports Tourer,4,Partial,Private,Fair,East of England,21500,4350,0.2023
Volkswagen Golf,GOL-094,2016,10,189362,18936,GT,Diesel,Manual,1.2,Hatchback,3,Full,Private,Excellent,Scotland,21500,3760,0.1749
Volkswagen Golf,GOL-095,2016,10,157086,15709,GTI,Petrol,Manual,1.5,Sports Tourer,6,Partial,Franchise dealer,Good,South West,21500,5485,0.2551
Volkswagen Golf,GOL-096,2016,10,149106,14911,R-Line,Diesel,Manual,1.6,Hatchback,4,Full,Franchise dealer,Good,West Midlands,21500,4730,0.22
Volkswagen Golf,GOL-097,2016,10,81845,8184,R-Line,Petrol,Manual,1.5,Sports Tourer,5,Full,Independent dealer,Good,South East,21500,6330,0.2944
Volkswagen Golf,GOL-098,2016,10,63466,6347,S,Petrol,Manual,1.2,Hatchback,3,Full,Private,Good,Scotland,21500,5690,0.2647
Volkswagen Golf,GOL-099,2016,10,153467,15347,S,Petrol,Automatic,1.6,Hatchback,5,Partial,Private,Good,South East,21500,3825,0.1779
Volkswagen Golf,GOL-100,2016,10,66516,6652,GTI,Diesel,Manual,1.5,Sports Tourer,4,Full,Independent dealer,Good,Scotland,21500,7035,0.3272
